Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2021-05-01 00:00:00,142.67000000000002,159.4439493687905,0.0,[0.],0.0,1.9659402308848901,1.9659402308848901
2021-05-01 00:03:00,142.6700000643361,155.23202238061418,0.0,[0.],0.0,1.9659402383679572,1.9659402383679572
2021-05-01 00:06:00,142.67000419821923,152.8893762184703,0.0,[0.],0.0,1.9659407191891878,1.9659407191891878
2021-05-01 00:09:00,142.6700455502439,151.12274059116612,0.0,[0.],0.0,1.9659455289383174,1.9659455289383174
2021-05-01 00:12:00,142.6702298747411,149.75911426167764,0.0,[0.],0.0,1.965966968199565,1.965966968199565
2021-05-01 00:15:00,142.670765924924,148.62558964084525,0.0,[0.000125],0.0,1.9660293180989266,1.9660293180989266
2021-05-01 00:18:00,142.67197354441086,147.54936842672313,0.0,[0.],0.0,1.9661697833862881,1.9661697833862881
2021-05-01 00:21:00,142.67427570165657,146.3577586818057,0.0,[0.],0.0,1.9664375714258806,1.9664375714258806
2021-05-01 00:24:00,142.67818191836372,144.87816084732964,0.0,[0.],0.0,1.9668919764340254,1.9668919764340254
2021-05-01 00:27:00,142.6842685860371,142.97344745846158,0.0,[0.],0.0,1.967600110659512,1.967600110659512
2021-05-01 00:30:00,142.69315950690535,140.7189363258088,0.0,[0.0002],0.0,1.9686346725802912,1.9686346725802912
2021-05-01 00:33:00,142.70550812577451,138.50856785844095,0.0,[0.],0.0,1.970071923751122,1.970071923751122
2021-05-01 00:36:00,142.72198198568637,136.80709879113937,0.0,[0.],0.0,1.9719899362602802,1.9719899362602802
2021-05-01 00:39:00,142.74324941051185,136.07929100102862,0.0,[0.00010833],0.0,1.9744671101171096,1.9744671101171096
2021-05-01 00:42:00,142.76996852855754,136.71478886022325,0.0,[0.],0.0,1.9775809720027406,1.9775809720027406
2021-05-01 00:45:00,142.8027786951908,138.65255546449885,0.0,[4.1666666e-05],0.0,1.9814072598157546,1.9814072598157546
2021-05-01 00:48:00,142.8422937619677,141.1555326850923,0.0,[0.],0.0,1.986019226064748,1.986019226064748
2021-05-01 00:51:00,142.88909688556075,143.33641161474253,0.0,[0.],0.0,1.991487121618961,1.991487121618961
2021-05-01 00:54:00,142.94373675192347,144.30785008095683,0.0,[6.666667e-05],0.0,1.9978778426298884,1.9978778426298884
2021-05-01 00:57:00,143.0067249447075,143.29804814044056,0.0,[0.],0.0,2.005254706560649,2.005254706560649
2021-05-01 01:00:00,143.07853425327664,140.2286385590369,0.0,[0.],0.0,2.0136773312501237,2.0136773312501237
